layer,No.,range,areas,weight,attributions,lower connections (layer-index),upper connections (layer-index)
1,1,5,[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000],[1 1 1 0 0 0 1 1 1 1],[],[(2-1) (0-5)]
1,2,5,[0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000],[0 1 1 1 1 0 1 1 0 1],[],[(2-1) (2-2) (2-5) (0-6)]
1,3,5,[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000],[1 1 0 1 1 0 1 0 1 1],[],[(2-2) (0-6)]
1,4,5,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000],[0 1 1 0 0 1 1 1 1 1],[],[(2-2) (2-3) (2-6) (0-7)]
1,5,5,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000],[1 1 1 1 0 1 0 1 0 1],[],[(2-3) (2-4) (2-7) (0-8)]
1,6,5,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000],[1 1 1 0 1 0 0 1 1 1],[],[(2-3) (2-4) (0-8)]
2,1,9,[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[1 1 1 1 1 0 1 1 1 1],[(1-1) (1-2)],[(3-1) (1-3)]
2,2,9,[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000],[1 1 1 1 1 1 1 1 1 1],[(1-2) (1-3) (1-4)],[(3-1) (3-2) (3-3) (1-4)]
2,3,9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000],[1 1 1 1 1 1 1 1 1 1],[(1-4) (1-5) (1-6)],[(3-1) (3-2) (1-4)]
2,4,9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000],[1 1 1 1 1 1 0 1 1 1],[(1-5) (1-6)],[(3-2) (1-4)]
